"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87","Подсказка тарифа соответствует ТЗ","tests","2026-03-31","skipped","2026-03-31","TestTaxiOrder","test_taxi_order","",""
"","57","В режиме Быстрый активна кнопка Вызвать такси","tests","2026-03-31","passed","2026-03-31","TestTaxiPreparation","test_taxi_preparation","",""
"","61","Подсказка тарифа соответствует ТЗ","tests","2026-03-31","skipped","2026-03-31","TestTaxiOrder","test_taxi_order","",""
"","1038","При вводе двух разных адресов на карте отображаются точки маршрута","tests","2026-03-31","passed","2026-03-31","TestRouteRendering","test_route_rendering","",""
"","71","Подсказка тарифа соответствует ТЗ","tests","2026-03-31","passed","2026-03-31","TestTaxiOrder","test_taxi_order","",""
"","17214","Полный флоу заказа такси для тарифа Рабочий","tests","2026-03-31","skipped","2026-03-31","TestTaxiOrder","test_taxi_order","",""
"","531","В режиме Свой для типа Драйв активна кнопка Забронировать","tests","2026-03-31","passed","2026-03-31","TestTaxiPreparation","test_taxi_preparation","",""
"","74","Подсказка тарифа соответствует ТЗ","tests","2026-03-31","passed","2026-03-31","TestTaxiOrder","test_taxi_order","",""
"","220","При переключении между Оптимальным и Быстрым меняются активный таб и параметры маршрута","tests","2026-03-31","passed","2026-03-31","TestTaxiPreparation","test_taxi_preparation","",""
"","62","Под тарифами отображаются обязательные поля формы","tests","2026-03-31","passed","2026-03-31","TestTaxiOrder","test_taxi_order","",""
"","183","В режиме Свой становятся доступны типы передвижения","tests","2026-03-31","passed","2026-03-31","TestTaxiPreparation","test_taxi_preparation","",""
"","13","При вводе разных адресов отображается блок выбора маршрута","tests","2026-03-31","passed","2026-03-31","TestRouteOptionsBlock","test_route_options_block","",""
"","252","При одинаковых адресах отображается нулевой маршрут","tests","2026-03-31","passed","2026-03-31","TestRouteOptionsBlock","test_route_options_block","",""
"","33","Открывается форма заказа такси с шестью тарифами и одним активным","tests","2026-03-31","passed","2026-03-31","TestTaxiOrder","test_taxi_order","",""
"","54","Подсказка тарифа соответствует ТЗ","tests","2026-03-31","passed","2026-03-31","TestTaxiOrder","test_taxi_order","",""
"","79","Подсказка тарифа соответствует ТЗ","tests","2026-03-31","passed","2026-03-31","TestTaxiOrder","test_taxi_order","",""
